Unnamed: 0,ID,GPSX,GPSY,GBCODE
116095,297.0,121.504204,31.232218,110200.0
116096,297.0,121.495457,31.261508000000006,110200.0
116097,297.0,121.486214,31.246454,110200.0
1586242,2907.0,121.451961,31.221615000000003,110200.0
1640694,3096.0,121.373643,31.110046,110200.0
1640695,3096.0,121.47003,31.216821000000003,110200.0
1644625,3122.0,121.487283,31.247887,110200.0
1644626,3122.0,121.488539,31.233635,110200.0
1644627,3122.0,121.493787,31.238517,110200.0
1644628,3122.0,121.378681,31.19601,110200.0
1647627,3145.0,121.435818,31.260095,110200.0
1647764,3156.0,121.440141,31.232383,110200.0
1648242,3169.0,121.390531,31.225054,110200.0
1648243,3169.0,121.46263799999998,31.274798,110200.0
1648244,3169.0,121.511593,31.231831,110200.0
1648245,3169.0,121.486234,31.236434000000006,110200.0
1648246,3169.0,121.469924,31.217045,110200.0
1648283,3172.0,121.493958,31.238166,110200.0
1648284,3172.0,121.40272,31.207536,110200.0
1648294,3178.0,121.49288500000002,31.242878,110200.0
1648295,3178.0,121.464492,31.233325,110200.0
1648296,3178.0,121.468447,31.194071,110200.0
1648297,3178.0,121.339418,31.080357,110200.0
1648298,3178.0,121.486466,31.235776,110200.0
1648299,3178.0,121.449054,31.229606,110200.0
1648300,3178.0,121.537131,31.217908,110200.0
1648301,3178.0,121.557485,31.212045,110200.0
1648302,3178.0,121.212212,31.289261,110200.0
1648303,3178.0,121.484757,31.251014,110200.0
1648304,3178.0,121.490416,31.404229,110200.0
1648305,3178.0,121.447393,31.210268,110200.0
1648306,3178.0,121.390265,31.190168,110200.0
1648307,3178.0,121.464483,31.233313,110200.0
1648308,3178.0,121.476112,31.225690000000004,110200.0
1648309,3178.0,121.398187,31.199723,110200.0
1648310,3178.0,121.461951,31.246445,110200.0
1648311,3178.0,121.424996,31.229721,110200.0
1648312,3178.0,121.278109,31.209976,110200.0
1648313,3178.0,121.49601,31.236063,110200.0
1648314,3178.0,121.398476,31.199738,110200.0
1648315,3178.0,121.490289,31.247609000000004,110200.0
1648316,3178.0,121.157981,31.291703,110200.0
1648317,3178.0,121.469694,31.224646000000003,110200.0
1648318,3178.0,121.382745,31.189417,110200.0
1648319,3178.0,121.453983,31.212844,110200.0
