business_id,name,longitude,latitude,name_pinyin,geometry
2071237,地铁通道广告,121.4768012652263,31.245407569181022,tōngdàoguǎnggào,POINT (121.4768012652263 31.24540756918102)
2075992,上海磁浮列车,121.79674012086355,31.15087027375992,shànghǎicífúlièchē,POINT (121.7967401208635 31.15087027375992)
2199364,陆家嘴地铁站,121.4975552656481,31.240111283530617,lùjiāzǔi,POINT (121.4975552656481 31.24011128353062)
2445064,京沪快线,121.34456385642429,31.194606150638958,jīnghùkuàixiàn,POINT (121.3445638564243 31.19460615063896)
4710716,虹口足球场地铁站,121.47502290035182,31.272510676184183,hóngkǒuzúqíucháng,POINT (121.4750229003518 31.27251067618418)
4740839,八号线老西门站,121.48082719054803,31.221625139043116,bālǎoxīmén,POINT (121.480827190548 31.22162513904312)
4740932,二号线中山公园站,121.40385098042015,31.21699314407338,èrzhōngshāngōngyuán,POINT (121.4038509804201 31.21699314407338)
5140311,地铁一号线共康路站,121.44238383542539,31.320952056205385,yīgòngkānglù,POINT (121.4423838354254 31.32095205620539)
5176033,地铁站黄兴路站,121.5236929280992,31.28073893236709,huángxīnglù,POINT (121.5236929280992 31.28073893236709)
5177564,地铁四号线曹杨路站,121.41314030753433,31.241347284738815,sìcáoyánglù,POINT (121.4131403075343 31.24134728473881)
5202672,地铁十号线豫园站,121.48515216264146,31.22424359015258,shíyùyuán,POINT (121.4851521626415 31.22424359015258)
5223676,地铁七号线罗南新村站,121.35263069898747,31.392843698185708,qīluōnánxīncūn,POINT (121.3526306989875 31.39284369818571)
5226288,地铁八号线曲阜路站,121.469045472968,31.244488360537655,bāqūfùlù,POINT (121.469045472968 31.24448836053766)
5231439,娄山关路地铁站,121.39926034315646,31.212833353572247,lóushānguānlù,POINT (121.3992603431565 31.21283335357225)
5236131,地铁七号线后滩站,121.46921202973441,31.174211670579744,qīhòutān,POINT (121.4692120297344 31.17421167057974)
5236217,静安寺地铁站（2/7号线）,121.44342450830065,31.225635282776373,jìngānsì,POINT (121.4434245083007 31.22563528277637)
5237935,桂林路地铁站,121.41418082175467,31.17679814715772,gùilínlù,POINT (121.4141808217547 31.17679814715772)
5240608,七号线肇嘉浜路站,121.46045192499014,31.205909958402614,qīzhàojiābānglù,POINT (121.4604519249901 31.20590995840261)
5244605,一号线徐家汇站,121.43216349242611,31.197231293180486,yīxújiāhùi,POINT (121.4321634924261 31.19723129318049)
5249432,地铁二号线东昌路站,121.49992386910574,31.239238771715552,èrdōngchānglù,POINT (121.4999238691057 31.23923877171555)
5252343,地铁六号线航津站,121.58272492421133,31.335783580923223,lìuhángjīn,POINT (121.5827249242113 31.33578358092322)
5252575,四平路地铁站,121.49710050567232,31.276949809605938,sìpínglù,POINT (121.4971005056723 31.27694980960594)
5255555,地铁三号线镇坪路站,121.44368258411181,31.25488149148297,sānzhènpínglù,POINT (121.4436825841118 31.25488149148297)
5255560,上海火车站地铁站,121.46916476185815,31.257300985952913,shànghǎihuǒchē,POINT (121.4691647618582 31.25730098595291)
5258206,地铁八号线浦江镇站,121.49752689901301,31.101142167523086,bāpǔjiāngzhèn,POINT (121.497526899013 31.10114216752309)
5261310,漕河泾开发区地铁站,121.39350415171853,31.172589651751696,cáohéjīngkāifāqū,POINT (121.3935041517185 31.1725896517517)
5261858,长江南路地铁站,121.48550406822943,31.33384705679373,chángjiāngnánlù,POINT (121.4855040682294 31.33384705679373)
5287406,东方体育中心地铁站,121.4759761183158,31.1555691337256,dōngfāngtǐyùzhōngxīn,POINT (121.4759761183158 31.1555691337256)
5294632,虹桥二号航站楼地铁站,121.32754107229395,31.195137352540595,hóngqiáoèrhàohánglóu,POINT (121.327541072294 31.19513735254059)
5299362,10号线伊犁路,121.4029219070746,31.203004650909456,yīlílù,POINT (121.4029219070746 31.20300465090946)
5306243,张江高科地铁站,121.58349640286131,31.204007949193926,zhāngjiānggāokē,POINT (121.5834964028613 31.20400794919393)
5306654,北翟路地铁车库,121.32990307777352,31.225758097657202,běidílùchēkù,POINT (121.3299030777735 31.2257580976572)
5306858,天潼路地铁站,121.47787491075502,31.245801465173006,tiāntónglù,POINT (121.477874910755 31.24580146517301)
5308354,九亭地铁站,121.31651088751624,31.140536591366327,jǐutíng,POINT (121.3165108875162 31.14053659136633)
5309041,徐家汇地铁站,121.43396699356246,31.195561922498566,xújiāhùi,POINT (121.4339669935625 31.19556192249857)
5322187,七号线新村路站,121.41808689301595,31.266525122063037,qīxīncūnlù,POINT (121.418086893016 31.26652512206304)
5322197,10号线新天地站,121.47051217081001,31.222176652511013,xīntiāndì,POINT (121.47051217081 31.22217665251101)
5324009,9号线商城路,121.51635234571535,31.233446467817,shāngchénglù,POINT (121.5163523457153 31.233446467817)
5326167,南京东路地铁站,121.47948101833565,31.239168096318405,nánjīngdōnglù,POINT (121.4794810183356 31.23916809631841)
5348763,11号线嘉定北路站,121.33793004578501,31.331763912196305,jiādìngběilù,POINT (121.337930045785 31.3317639121963)
5349083,轨交11号线李子园站,121.38725879702777,31.25965720598375,gǔijiāolǐzǐyuán,POINT (121.3872587970278 31.25965720598375)
5353901,地铁八号线曲阳路站,121.48090257186513,31.27884688912283,bāqūyánglù,POINT (121.4809025718651 31.27884688912283)
5365939,地铁八号线沈杜公路站,121.50787706724435,31.063561194265834,bāshěndùgōnglù,POINT (121.5078770672444 31.06356119426583)
5381818,人民广场地铁站,121.47090841318808,31.234555976281936,rénmínguǎngcháng,POINT (121.4709084131881 31.23455597628194)
